City,Date,High,Low,Precipitation
San Francisco,10/1/2010,20.56,15.56,0.0
San Francisco,10/2/2010,21.11,15.0,0.0
San Francisco,10/3/2010,21.67,15.0,0.0
San Francisco,10/4/2010,20.56,15.56,0.0
San Francisco,10/5/2010,23.89,13.89,0.0
San Francisco,10/6/2010,24.44,16.11,0.0
San Francisco,10/7/2010,22.22,14.44,0.0
San Francisco,10/8/2010,24.44,13.89,0.0
San Francisco,10/9/2010,26.11,13.89,0.0
San Francisco,10/10/2010,24.44,15.56,0.0
San Francisco,10/11/2010,31.11,15.56,0.0
San Francisco,10/12/2010,34.44,18.89,0.0
San Francisco,10/13/2010,33.33,18.89,0.0
San Francisco,10/14/2010,30.0,17.78,0.0
San Francisco,10/15/2010,24.44,15.0,0.0
San Francisco,10/16/2010,18.33,13.89,0.0
San Francisco,10/17/2010,15.56,14.44,0.13
San Francisco,10/18/2010,19.44,12.22,0.0
San Francisco,10/19/2010,22.78,12.22,0.0
San Francisco,10/20/2010,20.0,12.22,0.0
San Francisco,10/21/2010,21.67,16.67,0.03
San Francisco,10/22/2010,18.89,13.89,0.0
San Francisco,10/23/2010,20.0,12.78,0.69
San Francisco,10/24/2010,21.11,16.67,0.94
San Francisco,10/25/2010,20.0,14.44,0.0
San Francisco,10/26/2010,20.0,12.78,0.0
San Francisco,10/27/2010,18.89,11.11,0.0
San Francisco,10/28/2010,22.78,10.56,0.0
San Francisco,10/29/2010,17.22,12.78,0.2
San Francisco,10/30/2010,17.22,11.11,0.15
San Francisco,10/31/2010,18.89,10.56,0.0
San Francisco,11/1/2010,22.22,10.56,0.0
San Francisco,11/2/2010,22.78,11.67,0.0
San Francisco,11/3/2010,23.89,12.78,0.0
San Francisco,11/4/2010,25.0,14.44,0.0
San Francisco,11/5/2010,18.89,12.22,0.0
San Francisco,11/6/2010,20.0,12.22,0.0
San Francisco,11/7/2010,16.11,11.67,0.99
San Francisco,11/8/2010,15.56,10.0,0.0
San Francisco,11/9/2010,16.11,7.78,0.0
San Francisco,11/10/2010,16.11,11.11,0.05
San Francisco,11/11/2010,18.89,9.44,0.0
San Francisco,11/12/2010,18.89,7.22,0.0
San Francisco,11/13/2010,21.67,8.33,0.0
San Francisco,11/14/2010,25.0,11.11,0.0
San Francisco,11/15/2010,25.56,14.44,0.0
San Francisco,11/16/2010,20.56,11.67,0.0
San Francisco,11/17/2010,18.89,8.33,0.0
San Francisco,11/18/2010,15.0,7.78,0.0
San Francisco,11/19/2010,13.33,7.78,0.99
San Francisco,11/20/2010,12.78,7.22,1.83
San Francisco,11/21/2010,12.78,6.67,0.51
San Francisco,11/22/2010,13.89,8.89,0.03
San Francisco,11/23/2010,12.22,6.11,0.61
San Francisco,11/24/2010,10.0,3.33,0.0
San Francisco,11/25/2010,11.11,2.78,0.0
San Francisco,11/26/2010,11.67,2.78,0.0
San Francisco,11/27/2010,12.22,8.33,1.12
San Francisco,11/28/2010,11.67,5.56,0.0
San Francisco,11/29/2010,12.22,3.33,0.0
San Francisco,11/30/2010,11.11,3.89,0.0
San Francisco,12/1/2010,12.22,3.89,0.0
San Francisco,12/2/2010,11.67,6.67,0.0
San Francisco,12/3/2010,12.22,10.0,0.0
San Francisco,12/4/2010,15.0,10.0,0.05
San Francisco,12/5/2010,16.11,10.0,0.94
San Francisco,12/6/2010,16.67,10.0,0.1
San Francisco,12/7/2010,15.0,7.22,0.0
San Francisco,12/8/2010,13.89,10.0,2.08
San Francisco,12/9/2010,15.0,12.22,0.0
San Francisco,12/10/2010,15.56,12.78,0.0
San Francisco,12/11/2010,15.56,11.11,0.0
San Francisco,12/12/2010,14.44,11.11,0.0
San Francisco,12/13/2010,13.89,11.67,0.0
